"ATTACHMENTS","إرفاق ملفات"
"Lead Period in Day  type a negative number such as -2 for two days of lead time  - Lag Period in Day  type a positive number such as 2 for two days of lag time","التقدم الفترة باليوم اكتب رقمًا سلبيًا مثل -2 يومين من المهلة - التأخر الفترة باليوم اكتب رقمًا مؤجباً مثل 2 يومين من الوقت المتأخر"
"Task Resource Request","طلب موارد للمهمة"
"Resource","المَورِد"
"Resource Name","إسم المَورِد"
"Work Type","نوع العمل"
"Request Status","حالة الطلب"
"Has Comment","إضافة تعليق"
"Unit Type","نوع الوحدة"
"Unit","الوحدة"
"Work","العمل"
"Material Unit","وحدة المادة"
"Cost","التكلفة"
"Checked Out","تم الإطلاع علية"
"Comment","التعليق"
"Percent","نسبة مئوية"
"Hours","بالساعة"
"FTE","المكافئ بدوام كامل (FTE)"
"Proposed","مُقتَرَح"
"Accepted","مقبول"
"Rejected","مرفوض"
"Percents for Related request is bigger then Generic Resource","النسب للطلبات المرتبطة اكبر من المورد العام"
"'Are you sure you want to delete the request ?'","هل تريد حقا حذف الطلب ؟"
"Replace Generic Resource Updated successfully","تم استبدال المورد العام بنجاح"
"This request in Generic, it cannot be approved.<br> Approve all related request and try again","طلب المورد عام ، لايمكن قبولها. <br>قم بالموافقة على الطلبات المرتبطة وحاول مرة اخرى"
"'Replace Generic Resource'","استبدال مورد عام"
"Set Resource frist","ادخل الموارد اولا"
"Set Percent frist","ادخل الموارد اولا"
"Related Request","الطلبات المرتبطة"
"Replace","استبدال"
"Open Form","فتح النموذج"
"Total Actual Cost","اجمالي التكلفة الفعلية"
"Request Number","رقم الطلب"
"Request Start Date","تاريخ بداية الطلب"
"Request End Date","تاريخ نهاية الطلب"
"Project Request Serial Number","رقم الطلب للمشروع"
"status","حالة الطلبو"
"Request Type","نوع الطلب"
"Work Resource Type","نوع طلب العمل"
"People","اشخاص"
"Equipement","معدات"
"Assignment Date","تاريخ الاسناد"
"Allocated Date","تاريخ التخصيص"
"Cost Type","نوع التكلفة"
"Fixed Cost","التكلفة ثابتة"
"Variable Cost","التكلفة المتغيرة"
"Resource Account Type","نوع حساب المَورد"
"Task Type","نوع المهمة"
"Weight","الوزن"
"Request Number","رقم الطلب"
"Requests"," الطلبات"
"Requested Resource"," الموارد المطلوبة"
"Task Update","تحديث المهمة"
"Project ""+ frm.doc.project + "" has no project Manager","المشروع ""+ frm.doc.project +"" ليس لدية مدير مشاريع ..!"
"Task Not belong to Project","المهمة لا تنتمي لمشروع"
"Project {} has No program","الشروع {} ليس لدية برنامج."
"Task {} in project {} has reach {} %","المهمة {} التي في المشروع {} قد بلغت {} %."
"Task {} in project {} is {}","المهمة {} التي في المشروع {} حالتها {}."
"Task {} in project {} has Reached {} {} {}","المهمة {} التي في المشروع {} قد بلغت {} {} {}."
"Task {} in project {} is  Not Completed in date {}","المهمة {} في المشروع {} لم تنتهي في التاريخ المحدد {} ..!"
"Remind for late task: {}","تذكير بتأخر المهمة: {}"
"Working Day","يوم عمل"
"Working Hours Day","ساعات العمل لليوم"
"Description","الوصف"
"Period","الفترة"
"PeriodText","نص الفترة"
"Working Day","يوم عمل"
"Resource","الموارد"
"Resource Company","الشركة"
"Acrue at","تتراكم في"
"Base calendar","التقويم الأساسي للمَورِد"
"Generic","عام"
"For Naming Roles as Resource","لتسمية المورد كدور"
"Parent Resource","المَورِد الاب"
"Cost Use","كلفة الاستخدام"
"Overtime Rate","معدل العمل الاضافي"
"Prorated","مقسم"
"End","النهاية"
"All Resources","كل الموارد"
"Add Multiple Resources","إضافة موارد متعددة"
"Resource Department","القسم أو الإدارة"
"Make As User In System","جعل المورد مستخدم في النظام"
"Booking Type","نوع الحجز"
"Committed","ملتزم"
"Proposed","مُقترح"
"Resource can be leveled","يمكن عمل مستويات للمورد"
"Timesheet Manager","مسؤول الجدولة الزمنية"
"User In System","مستخدم في النظام"
"Resource Cost","تكاليف المورد"
"Tax Amount","كمية الضريبة"
"Insurance Amount","كمية التامين"
"Other Amount","كميات اخرى"
"Staff member","موظف"
"You Account in System is Created with email {0} and password {1}","تم إنشاء حسابك في النظام بالبريد الإلكتروني {0} وكلمة المرور {1}"
"You Account in System is Created","تم انشاء حسابك"
"{0}:email not found, hence email not sent","{0}: لم يتم العثور على البريد الإلكتروني ، وبالتالي لم يتم إرسال البريد الإلكتروني"
"This Resource Has Account","هذا المورد لديه حساب"
"Resource Department","القسم أو الإدارة"
"Resource Request","طلب المورد"
"Request Date","تاريخ الطلب"
"Resource Request Item","عناصر طلب المورد"
"Assigned Resources","الموارد المسنده"
"Are you sure you want to Assign Accepted Request","هل أنت متأكد من أنك تريد اسناد الطلبات المقبولة"
"Set Resource frist","الرجاء ادخال المورد"
"Set Percent frist","الرجاء ادخال النسبة"
"Resource Request Item","عناصر طلب المورد"
"Resource ","المورد"
"Work Type","نوع العمل"
"Has Comment","إضافة تعليق"
"accepted","مقبول"
"Assigned Resources","الموارد المُسنَدَة"
"Resource Allocation","تخصيص الموارد"
"Units","نسبة"
"Booking Type","نوع الحجز"
"Committed","ملتزم"
"Ignore Conflict","تجاهل التضارب في حجز المورد"
"Tracking","تَتَبُّع"
"Actual Work","العمل الفعلي"
"Remaining Work","العمل المتبقي"
"Work Completed %","نسبة انتهاء العمل ٪"
"Actual Finish Date","تاريخ الانتهاء الفعلي"
"Resource Allocated","تخصيص الموارد"
"Resource Allocation Hour","أوقات تخصيص الموارد"
"Resource Allocation Hour","أوقات تخصيص الموارد"
"Total Hour","إجمالي الساعات"
"Hour Allocated","تخصيص الساعة"
"Actual work Hour","ساعات العمل الفعلية"
"Resource Allocation Report","تقرير تخصيص الموارد"
"Role Group","مجموعة الادوار"
"Resource","الموارد"
"Total Hour","اجمالي الساعات"
"Resource Availability","توفر المورد"
"Over Allocated","الحجز الزائد"
"Resource Summary Cost","تكلفة ملخص الموارد"
"Resource Title","المورد"
"Expected Cost","التكلفة التقديرية"
"Resource Title","عنوان المورد"
"Assignment Work","العمل المسند"
"Actual start time report","تقرير وقت البدء الفعلي"
"Task ASD","تاريخ البدء الفعلي للمهمة"
"Task ESD","تاريخ البدء المتوقع للمهمة"
"Task AED"," تاريخ الانتهاء المتوقع للمهمة"
"Task EED","تاريخ الانتهاء المتوقع للمهمة"
"BaseLine Report","تقرير وقت البدء الفعلي"
"Finish","الانتهاء"
"BaseLine Finish","الانتهاء خط الاساس"
"Finish Variance","إنهاء التباين"
"Project Risks And Issues","مخاطر المشروع ومشاكلة"
"Risks count","عدد المخاطر"
"Issues Count","عدد القضاياء"
"Risks And Issues","المخاطر والمشاكل"
"Program Project","برنامج"
"Code Or Short Name","اسم مختصر"
"Funded","ممول"
"Not Funded","غير ممول"
"Has Log Frame","يملك إطار منطقي"
"optional Field","الحقول الإختيارية"
"Lead Partner","الشريك الرئيسي"
"Estimated Budget","التكلفة التقديرية"
"Budget bottom up","الميزانية من الأسفل إلى الأعلى"
"Program Output","مُخرَج البرنامج"
"Output Name","اسم المُخرَج"
"Task Resource Request Tool","اداة طلب الموارد للمهام"
"Save Requests","حفظ الطلابات"
"Process Finish Successfully","العملية انتهت بنجاح"
"Requested Task Updated successfully","تم تحديث طلبات المهام بنجاح"
"can not change status if Budget Status Not funded","لا يمكن تغيير الحالة إذا كانت حالة الميزانية غير ممولة"
"Tree Program Projects","شجرة البرامج والمشاريع"
"No Data Found","لا توجد بيانات"
"go back","رجوع للخلف"
"Programs Tree","شجرة البرامج"
"Logframe Details","تفاصيل الإطار المنطقي شجرياً"
"Logframe Data Name","اسم الإطار المنطقي"
"Show Details","عرض التفاصيل"
"Details","التفاصيل"
"Program Or Project Name","اسم البرنامج أو المشروع"
"Actual Spending","المصروفات الفعلية"
"Outcome","نتيجة"
"Output","مُخرج"
"Project","مشروع"
"Resource Work","عمل المَورِد"
"Nothing to show","لا يوجد شيء ليتم عرضه"
"Resource Name","إسم المَورِد"
"Resource Title","عنوان المَورِد"
"Assignment Work","العمل المحدد"
"Actual Work","العمل الفعلي"
"Assign Work","العمل المحدد"
"Project","المشروع"
"Baseline Report","تقرير خط الأساس"
"Resource Form","نموذج الموارد"
"Project Name","إسم المشروع"
"Task Name","إسم المهمة"
"Units","الوحدات"
"Cost","التكلفة"
"Time","الوقت"
"Completion","التقدم"
"duration","المدة"
"Actual Cost","التكلفة الفعلية"
"Remaining Cost","التكلفة المتبقية"
"Overacted Work","العمل الإضافي"
"Work","العمل"
"Actual Work","العمل الفعلي"
"Remaining Work","العمل المتبقي"
